utc_timestamp;cet_cest_timestamp;consumption;solarprod;windprod
2016-12-31T23:00:00Z;2017-01-01T00:00:00+0100;47,641;0;55,7520722
2017-01-01T00:00:00Z;2017-01-01T01:00:00+0100;46,313;0;55,5387813
2017-01-01T01:00:00Z;2017-01-01T02:00:00+0100;44,748;0;54,515708
2017-01-01T02:00:00Z;2017-01-01T03:00:00+0100;43,345;0;53,2540381
2017-01-01T03:00:00Z;2017-01-01T04:00:00+0100;42,347;0;53,7384615
2017-01-01T04:00:00Z;2017-01-01T05:00:00+0100;41,405;0;55,1447354
2017-01-01T05:00:00Z;2017-01-01T06:00:00+0100;39,849;0;57,4945504
2017-01-01T06:00:00Z;2017-01-01T07:00:00+0100;40,171;0,0036151;57,4909353
2017-01-01T07:00:00Z;2017-01-01T08:00:00+0100;40,998;0,9905374;57,1764216
2017-01-01T08:00:00Z;2017-01-01T09:00:00+0100;43,352;7,5302533;56,8366022
2017-01-01T09:00:00Z;2017-01-01T10:00:00+0100;45,713;16,9150529;52,4370255
2017-01-01T10:00:00Z;2017-01-01T11:00:00+0100;47,933;24,691133;48,08083
2017-01-01T11:00:00Z;2017-01-01T12:00:00+0100;48,74;28,6532826;44,2343636
2017-01-01T12:00:00Z;2017-01-01T13:00:00+0100;47,898;25,6093684;39,838402
2017-01-01T13:00:00Z;2017-01-01T14:00:00+0100;47,464;16,7559885;35,5328179
2017-01-01T14:00:00Z;2017-01-01T15:00:00+0100;47,932;6,0046811;32,5142094
2017-01-01T15:00:00Z;2017-01-01T16:00:00+0100;50,326;0,4265818;33,0673197
2017-01-01T16:00:00Z;2017-01-01T17:00:00+0100;54,676;0;35,2038438
2017-01-01T17:00:00Z;2017-01-01T18:00:00+0100;55,415;0;35,7027276
2017-01-01T18:00:00Z;2017-01-01T19:00:00+0100;54,244;0;36,9716277
2017-01-01T19:00:00Z;2017-01-01T20:00:00+0100;52,23;0;40,1059194
2017-01-01T20:00:00Z;2017-01-01T21:00:00+0100;50,965;0;41,6929483
2017-01-01T21:00:00Z;2017-01-01T22:00:00+0100;50,736;0;44,6067189
2017-01-01T22:00:00Z;2017-01-01T23:00:00+0100;48,068;0;44,321126
2017-01-01T23:00:00Z;2017-01-02T00:00:00+0100;45,545;0;44,7874739
2017-01-02T00:00:00Z;2017-01-02T01:00:00+0100;43,824;0;46,670941
2017-01-02T01:00:00Z;2017-01-02T02:00:00+0100;43,137;0;45,947921
2017-01-02T02:00:00Z;2017-01-02T03:00:00+0100;43,094;0;45,8900794
2017-01-02T03:00:00Z;2017-01-02T04:00:00+0100;44,13;0;43,3414339
2017-01-02T04:00:00Z;2017-01-02T05:00:00+0100;47,075;0;42,8859313
2017-01-02T05:00:00Z;2017-01-02T06:00:00+0100;52,845;0;43,8439328
2017-01-02T06:00:00Z;2017-01-02T07:00:00+0100;59,074;0;43,1100675
2017-01-02T07:00:00Z;2017-01-02T08:00:00+0100;62,978;0,3795855;41,2338306
2017-01-02T08:00:00Z;2017-01-02T09:00:00+0100;65,297;2,7980874;38,0236218
2017-01-02T09:00:00Z;2017-01-02T10:00:00+0100;67,137;5,8817677;37,3150622
2017-01-02T10:00:00Z;2017-01-02T11:00:00+0100;68,655;8,6798551;35,5183575
2017-01-02T11:00:00Z;2017-01-02T12:00:00+0100;69,083;10,3681068;36,4293627
2017-01-02T12:00:00Z;2017-01-02T13:00:00+0100;68,009;9,1389728;36,4980496
2017-01-02T13:00:00Z;2017-01-02T14:00:00+0100;66,973;5,6829372;37,994701
2017-01-02T14:00:00Z;2017-01-02T15:00:00+0100;66,516;2,0099956;38,1826862
2017-01-02T15:00:00Z;2017-01-02T16:00:00+0100;67,647;0,1735248;39,9179342
2017-01-02T16:00:00Z;2017-01-02T17:00:00+0100;70,698;0;43,8367026
2017-01-02T17:00:00Z;2017-01-02T18:00:00+0100;70,438;0;48,586944
2017-01-02T18:00:00Z;2017-01-02T19:00:00+0100;68,676;0;50,24989
2017-01-02T19:00:00Z;2017-01-02T20:00:00+0100;64,893;0;50,2715806
2017-01-02T20:00:00Z;2017-01-02T21:00:00+0100;61,849;0;51,5115599
2017-01-02T21:00:00Z;2017-01-02T22:00:00+0100;60,01;0;53,2215022
2017-01-02T22:00:00Z;2017-01-02T23:00:00+0100;56,111;0;56,6775378
2017-01-02T23:00:00Z;2017-01-03T00:00:00+0100;52,903;0;59,6527651
2017-01-03T00:00:00Z;2017-01-03T01:00:00+0100;50,794;0;60,155264
2017-01-03T01:00:00Z;2017-01-03T02:00:00+0100;49,509;0;61,9194328
2017-01-03T02:00:00Z;2017-01-03T03:00:00+0100;49,603;0;65,8128955
2017-01-03T03:00:00Z;2017-01-03T04:00:00+0100;50,587;0;68,1627105
2017-01-03T04:00:00Z;2017-01-03T05:00:00+0100;53,087;0;71,3403834
2017-01-03T05:00:00Z;2017-01-03T06:00:00+0100;58,463;0;75,0350156
2017-01-03T06:00:00Z;2017-01-03T07:00:00+0100;64,24;0;80,0563895
2017-01-03T07:00:00Z;2017-01-03T08:00:00+0100;67,528;0,253057;82,2543703
2017-01-03T08:00:00Z;2017-01-03T09:00:00+0100;69,089;1,9449238;87,0552231
2017-01-03T09:00:00Z;2017-01-03T10:00:00+0100;70,652;4,2152066;93,6636259
2017-01-03T10:00:00Z;2017-01-03T11:00:00+0100;71,731;6,5686367;100,2322626
2017-01-03T11:00:00Z;2017-01-03T12:00:00+0100;71,575;7,7616197;105,1921798
2017-01-03T12:00:00Z;2017-01-03T13:00:00+0100;70,887;6,8976108;109,284473
2017-01-03T13:00:00Z;2017-01-03T14:00:00+0100;69,936;4,410422;111,4499179
2017-01-03T14:00:00Z;2017-01-03T15:00:00+0100;69,682;1,5870289;115,5711319
2017-01-03T15:00:00Z;2017-01-03T16:00:00+0100;70,787;0,1662946;119,5079758
2017-01-03T16:00:00Z;2017-01-03T17:00:00+0100;73,456;0;122,6133467
2017-01-03T17:00:00Z;2017-01-03T18:00:00+0100;72,856;0;125,5849589
2017-01-03T18:00:00Z;2017-01-03T19:00:00+0100;70,97;0;127,323822
2017-01-03T19:00:00Z;2017-01-03T20:00:00+0100;67,116;0;129,0301492
2017-01-03T20:00:00Z;2017-01-03T21:00:00+0100;63,844;0;129,1422173
2017-01-03T21:00:00Z;2017-01-03T22:00:00+0100;61,512;0;125,4584304
2017-01-03T22:00:00Z;2017-01-03T23:00:00+0100;57,6;0;124,4028212
2017-01-03T23:00:00Z;2017-01-04T00:00:00+0100;54,486;0;118,033015
2017-01-04T00:00:00Z;2017-01-04T01:00:00+0100;52,397;0;114,8047307
2017-01-04T01:00:00Z;2017-01-04T02:00:00+0100;51,175;0;111,9885678
2017-01-04T02:00:00Z;2017-01-04T03:00:00+0100;51,335;0;110,7413583
2017-01-04T03:00:00Z;2017-01-04T04:00:00+0100;52,291;0;110,9871851
2017-01-04T04:00:00Z;2017-01-04T05:00:00+0100;54,732;0;111,4824538
2017-01-04T05:00:00Z;2017-01-04T06:00:00+0100;60,412;0;114,6022851
2017-01-04T06:00:00Z;2017-01-04T07:00:00+0100;66,186;0;117,9498677
2017-01-04T07:00:00Z;2017-01-04T08:00:00+0100;69,251;0,1771399;120,6684229
2017-01-04T08:00:00Z;2017-01-04T09:00:00+0100;70,415;2,4401925;119,0127071
2017-01-04T09:00:00Z;2017-01-04T10:00:00+0100;71,783;6,3155797;116,623126
2017-01-04T10:00:00Z;2017-01-04T11:00:00+0100;73,047;9,4679469;116,3989898
2017-01-04T11:00:00Z;2017-01-04T12:00:00+0100;72,956;10,7296168;116,5291334
2017-01-04T12:00:00Z;2017-01-04T13:00:00+0100;72,092;9,254656;113,5936722
2017-01-04T13:00:00Z;2017-01-04T14:00:00+0100;71,058;5,7696996;108,9446536
2017-01-04T14:00:00Z;2017-01-04T15:00:00+0100;70,397;2,0099956;105,1560288
2017-01-04T15:00:00Z;2017-01-04T16:00:00+0100;71,039;0,1590644;100,9588977
2017-01-04T16:00:00Z;2017-01-04T17:00:00+0100;73,552;0;94,2167362
2017-01-04T17:00:00Z;2017-01-04T18:00:00+0100;72,842;0;92,1055178
2017-01-04T18:00:00Z;2017-01-04T19:00:00+0100;70,893;0;90,8546932
2017-01-04T19:00:00Z;2017-01-04T20:00:00+0100;66,964;0;86,2418256
2017-01-04T20:00:00Z;2017-01-04T21:00:00+0100;63,986;0;83,6389536
2017-01-04T21:00:00Z;2017-01-04T22:00:00+0100;61,782;0;78,1656922
2017-01-04T22:00:00Z;2017-01-04T23:00:00+0100;57,857;0;75,6423524
2017-01-04T23:00:00Z;2017-01-05T00:00:00+0100;54,641;0;70,7402768
2017-01-05T00:00:00Z;2017-01-05T01:00:00+0100;52,596;0;65,6176801
2017-01-05T01:00:00Z;2017-01-05T02:00:00+0100;51,725;0;62,432777
2017-01-05T02:00:00Z;2017-01-05T03:00:00+0100;51,628;0;58,8393676
2017-01-05T03:00:00Z;2017-01-05T04:00:00+0100;52,761;0;56,2943372
2017-01-05T04:00:00Z;2017-01-05T05:00:00+0100;55,228;0;53,5721669
2017-01-05T05:00:00Z;2017-01-05T06:00:00+0100;60,436;0;50,1233615
2017-01-05T06:00:00Z;2017-01-05T07:00:00+0100;66,078;0;48,7098574
2017-01-05T07:00:00Z;2017-01-05T08:00:00+0100;68,769;0,4193516;47,1192134
2017-01-05T08:00:00Z;2017-01-05T09:00:00+0100;69,597;4,5803317;44,46573
2017-01-05T09:00:00Z;2017-01-05T10:00:00+0100;70,379;10,8127641;42,8606256
2017-01-05T10:00:00Z;2017-01-05T11:00:00+0100;70,982;15,4581676;43,3342037
2017-01-05T11:00:00Z;2017-01-05T12:00:00+0100;70,845;16,0980403;43,6487174
