VALUE_TIME;t_2m;precip_1h;global_rad;wind_speed_10m
2017-01-01 00:00:00;3,2;0;0;9,3
2017-01-01 01:00:00;2,9;0;0;9,6
2017-01-01 02:00:00;2,6;0;0;10,4
2017-01-01 03:00:00;2,6;0;0;11
2017-01-01 04:00:00;2,9;0;0;10,3
2017-01-01 05:00:00;2,9;0;0;9,2
2017-01-01 06:00:00;3;0;0;8,9
2017-01-01 07:00:00;2,6;0;0;11,1
2017-01-01 08:00:00;2,5;0;27,8;12,8
2017-01-01 09:00:00;2,1;0;79,8;13,7
2017-01-01 10:00:00;1,6;0;93,3;11,2
2017-01-01 11:00:00;1,5;0;84,5;11,3
2017-01-01 12:00:00;1,9;0;41,8;11,2
2017-01-01 13:00:00;3;0;36,5;9,3
2017-01-01 14:00:00;3,4;0;13,8;9,8
2017-01-01 15:00:00;3,4;0;0;10,2
2017-01-01 16:00:00;3,5;0;0;9,8
2017-01-01 17:00:00;3,3;0;0;10,2
2017-01-01 18:00:00;3,1;0;0;9,1
2017-01-01 19:00:00;2,2;0;0;9,2
2017-01-01 20:00:00;2;0;0;9,7
2017-01-01 21:00:00;2,1;0;0;9
2017-01-01 22:00:00;2,1;0;0;11,4
2017-01-01 23:00:00;1,4;0;0;14,1
2017-01-02 00:00:00;0,6;0;0;14,7
2017-01-02 01:00:00;-0,2;0;0;11,9
2017-01-02 02:00:00;-0,6;0;0;13
2017-01-02 03:00:00;-0,1;0;0;13,6
2017-01-02 04:00:00;0,1;0;0;12,5
2017-01-02 05:00:00;0,2;0;0;10,7
2017-01-02 06:00:00;0,3;0;0;9,9
2017-01-02 07:00:00;0,6;0;0;11,6
2017-01-02 08:00:00;0,6;0;7;12,1
2017-01-02 09:00:00;0,9;0;19,9;11
2017-01-02 10:00:00;1,3;0;36,2;11,8
2017-01-02 11:00:00;1,7;0;100,1;10,1
2017-01-02 12:00:00;2,5;0;75,8;11,9
2017-01-02 13:00:00;3,1;0;106;12,9
